t,cpu_c,cpu_mhz,fan_rpm,prochot,prochot_ms,gpu_c,gpu_w,gpu_mhz,gpu_util,gpu_throttle
198.6,78,2464,4300,0,0,68,39.94,2617,100,sw-power
200.6,77,2471,4300,0,0,68,39.92,2587,96,sw-power
202.6,79,2468,4300,0,0,68,40.00,2542,99,sw-power
204.7,77,2271,4300,0,0,68,40.16,2565,99,sw-power
206.7,80,2395,4300,0,0,68,38.78,2392,74,sw-power
208.7,78,2497,4300,0,0,68,40.05,2520,98,sw-power
210.7,77,2397,4300,0,0,68,39.32,2497,84,sw-power
212.8,78,2367,4300,0,0,69,39.76,2595,98,sw-power
214.8,78,2498,4300,0,0,69,34.73,2572,61,sw-power
216.8,77,2398,4300,0,0,69,40.12,2602,99,sw-power
218.8,77,2264,4300,0,0,70,38.13,2040,91,-
220.9,77,2257,4300,0,0,68,39.76,2370,84,sw-power
222.9,78,2350,4300,0,0,69,39.75,2550,95,sw-power
224.9,79,2499,4300,0,0,69,39.97,2557,96,sw-power
226.9,78,2258,4300,0,0,69,40.07,2647,97,sw-power
229.0,77,2267,4300,0,0,67,39.97,2595,94,sw-power
231.0,78,2492,4300,0,0,69,38.74,2467,81,sw-power
233.0,78,2491,4300,0,0,69,39.95,2655,91,sw-power
235.0,79,2466,4300,0,0,68,39.64,2557,82,sw-power
237.1,77,2359,4300,0,0,69,39.96,2610,100,sw-power
239.1,78,2466,4300,0,0,68,39.88,2625,98,sw-power
